Date,Open,High,Low,Close,Adj Close,Volume,MA5
11-04-2024,14.64,14.82,13.53,13.59,13.59,1229667,14.619
10-04-2024,15.96,15.99,14.67,14.805,14.805,1645900,14.454
09-04-2024,14.67,16.2,14.61,15.405,15.405,1490300,14.625
08-04-2024,14.28,14.94,14.25,14.805,14.805,691633,14.58
05-04-2024,14.88,15.21,14.355,14.505,14.505,980467,14.622
04-04-2024,13.77,15.27,13.71,15.27,15.27,1163333,14.958
03-04-2024,14.43,14.43,13.8,14.25,14.25,646900,14.847
02-04-2024,14.43,14.655,13.89,14.1,14.1,905133,14.586
01-04-2024,13.83,14.16,13.26,13.86,13.86,833800,14.397
28-03-2024,13.935,14.16,13.53,13.86,13.86,885067,14.268
27-03-2024,13.05,14.13,12.99,13.83,13.83,1478333,13.98
26-03-2024,12.3,13.17,12.165,13.17,13.17,1304500,13.764
25-03-2024,12.78,12.93,12.087,12.525,12.525,1375233,13.449
22-03-2024,13.68,13.71,12.585,12.75,12.75,1246367,13.227
21-03-2024,13.29,13.86,13.17,13.56,13.56,1803900,13.167
20-03-2024,14.07,14.565,13.86,13.89,13.89,768100,13.179
19-03-2024,15.09,15.63,13.83,14.22,14.22,1168900,13.389
18-03-2024,13.92,14.94,13.194,14.52,14.52,994533,13.788
15-03-2024,15,15.225,14.13,14.685,14.685,814700,14.175
14-03-2024,14.16,15.075,13.845,14.61,14.61,1052900,14.385
13-03-2024,13.68,14.46,13.59,13.74,13.74,928033,14.355
12-03-2024,14.85,15.54,13.44,13.455,13.455,1340733,14.202
11-03-2024,15.57,16.23,14.67,15.675,15.675,2039367,14.433
08-03-2024,12.87,15.375,12.21,15.06,15.06,2730867,14.508
07-03-2024,14.4,14.58,13.56,13.59,13.59,694067,14.304
06-03-2024,15.18,15.51,14.535,14.88,14.88,559867,14.532
05-03-2024,16.2,16.89,15.9,15.93,15.93,504167,15.027
04-03-2024,16.68,16.8,15.24,16.26,16.26,526867,15.144
01-03-2024,18.48,18.72,17.43,17.46,17.46,430967,15.624
29-02-2024,18.9,19.29,18.465,18.93,18.93,614567,16.692
28-02-2024,19.68,19.86,19.035,19.62,19.62,710700,17.64
27-02-2024,18.81,19.83,18.768,19.08,19.08,1327800,18.27
26-02-2024,18.72,19.23,18.21,18.87,18.87,1200300,18.792
23-02-2024,18.12,19.68,17.31,18.99,18.99,1364633,19.098
22-02-2024,22.14,22.83,19.2,19.2,19.2,959100,19.152
21-02-2024,28.2,29.52,27.453,28.59,28.59,1137500,20.946
20-02-2024,25.41,28.11,25.38,26.4,26.4,1010067,22.41
16-02-2024,23.82,24.93,23.613,24.78,24.78,434800,23.592
15-02-2024,24.03,24.96,23.97,24.795,24.795,232933,24.753
14-02-2024,24.42,25.32,23.76,23.97,23.97,231567,25.707
13-02-2024,26.46,26.97,24.33,25.14,25.14,560533,25.017
12-02-2024,24.9,25.83,23.52,25.14,25.14,377267,24.765
09-02-2024,26.49,26.67,25.14,25.17,25.17,141367,24.843
08-02-2024,26.85,27.21,26.34,27.09,27.09,124000,25.302
07-02-2024,28.35,28.77,26.685,26.76,26.76,136800,25.86
